Campus Name,Long Campus Name,Campus Website,Address 1,Address 2,City,State,Zip,Longitude1,County,Latitude1,Institution Level,Location,Institution Type,Enrollment As Of,Undergraduate Enrollment,Graduate Enrollment,Program 1,Program 2,Program 3,Program 4,Program 5
Adirondack,ADIRONDACK COMMUNITY COLLEGE,http://www.sunyacc.edu,640 BAY RD, ,QUEENSBURY,NY,12804,-73.656311,Warren,43.3507652,2-year,"(43.3507652, -73.656311)",Community Colleges,Fall 2015,3993,0,Liberal Arts And Sciences,Business Administration,Nursing,Criminal Justice,Media Arts
Broome,BROOME COMMUNITY COLLEGE,http://www.sunybroome.edu/,UPPER FRONT ST,PO BOX 1017,BINGHAMTON,NY,13902,-75.8884735,Broome,42.1678047,2-year,"(42.1678047, -75.8884735)",Community Colleges,Fall 2015,5926,0,Liberal Arts And Sciences,Business Administration,Nursing,Criminal Justice,Human Services
Cayuga County,CAYUGA COUNTY COMMUNITY COLLEGE,http://www.cayuga-cc.edu/,197 FRANKLIN ST, ,AUBURN,NY,13021,-76.5238113,Cayuga,42.9488068,2-year,"(42.9488068, -76.5238113)",Community Colleges,Fall 2015,4184,0,Liberal Arts And Sciences,Business Administration,Criminal Justice,Nursing,Studio Art & Design
Clinton,CLINTON COMMUNITY COLLEGE,http://www.clinton.edu/,136 CLINTON POINT DR, ,PLATTSBURGH,NY,12901,-73.4672546,Clinton,44.6937408,2-year,"(44.6937408, -73.4672546)",Community Colleges,Fall 2015,1862,0,Liberal Arts And Sciences,Criminal Justice,Nursing,Business Administration,Human Services
Columbia-Greene,COLUMBIA-GREENE COMMUNITY COLLEGE,http://www.sunycgcc.edu,4400 ROUTE 23, ,HUDSON,NY,12534,-73.818367,Columbia,42.2176323,2-year,"(42.2176323, -73.818367)",Community Colleges,Fall 2015,1781,0,Liberal Arts And Sciences,Criminal Justice,Nursing,Business Administration,Fine Arts
Corning,CORNING COMMUNITY COLLEGE,http://www.corning-cc.edu,1 ACADEMIC DR, ,CORNING,NY,14830,-77.0738907,Steuben,42.1163292,2-year,"(42.1163292, -77.0738907)",Community Colleges,Fall 2015,3972,0,Liberal Arts And Sciences,Nursing,Business Administration,Human Services,Criminal Justice
Dutchess,DUTCHESS COMMUNITY COLLEGE,http://www.sunydutchess.edu,53 PENDELL RD, ,POUGHKEEPSIE,NY,12601,-73.9061966,Dutchess,41.7216949,2-year,"(41.7216949, -73.9061966)",Community Colleges,Fall 2015,9546,0,Liberal Arts And Sciences,Nursing,Business Administration,Criminal Justice,Human Services
Erie,ERIE COMMUNITY COLLEGE-CITY CAMPUS,http://www.ecc.edu,121 ELLICOTT ST, ,BUFFALO,NY,14203,-78.8731613,Erie,42.8819122,2-year,"(42.8819122, -78.8731613)",Community Colleges,Fall 2015,12022,0,Liberal Arts And Sciences,Business Administration,Criminal Justice,Nursing,Automotive Technology 
Fashion Institute,FASHION INSTITUTE OF TECHNOLOGY,http://www.fitnyc.edu,SEVENTH AVE AT 27 ST, ,NEW YORK,NY,10001,-73.9851379,New York,40.758503,4-year,"(40.758503, -73.9851379)",Community Colleges,Fall 2015,9386,179,Fashion Merchandising Management,Fashion Design,Advertising & Marketing Communications,Illustration,Interior Design
Finger Lakes,FINGER LAKES COMMUNITY COLLEGE,http://www.flcc.edu,3325 MARVIN SANDS DR, ,CANANDAIGUA,NY,14424,-77.2724304,Ontario,42.8767853,2-year,"(42.8767853, -77.2724304)",Community Colleges,Fall 2015,6755,0,Liberal Arts And Sciences,Criminal Justice,Business Administration,Human Services,Music Recording Technology
Fulton-Montgomery,FULTON-MONTGOMERY COMMUNITY COLLEGE,http://fmcc.suny.edu,2805 STATE HWY 67, ,JOHNSTOWN,NY,12095,-74.2950974,Montgomery,42.9834557,2-year,"(42.9834557, -74.2950974)",Community Colleges,Fall 2015,2551,0,Liberal Arts And Sciences,Criminal Justice,Human Services,Business Administration,Nursing
Genesee,GENESEE COMMUNITY COLLEGE,http://www.genesee.edu,ONE COLLEGE RD, ,BATAVIA,NY,14020,-78.1380844,Genesee,43.0168915,2-year,"(43.0168915, -78.1380844)",Community Colleges,Fall 2015,6521,0,Liberal Arts And Sciences,Health Studies,Criminal Justice,Business Administration,Nursing
Herkimer County,HERKIMER COUNTY COMMUNITY COLLEGE,http://www.herkimer.edu,100 RESERVOIR RD, ,HERKIMER,NY,13350,-75.0077438,Herkimer,43.0320549,2-year,"(43.0320549, -75.0077438)",Community Colleges,Fall 2015,3020,0,Liberal Arts And Sciences,Criminal Justice,Human Services,Business Administration,Sports And Recreation Management
Hudson Valley,HUDSON VALLEY COMMUNITY COLLEGE,http://www.hvcc.edu,80 VANDENBURGH AVE, ,TROY,NY,12180,-73.6890869,Rensselaer,42.6984253,2-year,"(42.6984253, -73.6890869)",Community Colleges,Fall 2015,11796,0,Business Administration,Liberal Arts And Sciences,Criminal Justice,Human Services,Electrical Construction & Maintenance
Jamestown,JAMESTOWN COMMUNITY COLLEGE,http://www.sunyjcc.edu,525 FALCONER ST, ,JAMESTOWN,NY,14701,-79.217926,Chautauqua,42.1129532,2-year,"(42.1129532, -79.217926)",Community Colleges,Fall 2015,4826,0,Liberal Arts And Sciences,Nursing,Business Administration,Human Services,Criminal Justice
Jefferson,JEFFERSON COMMUNITY COLLEGE,http://www.sunyjefferson.edu,1220 COFFEEN ST, ,WATERTOWN,NY,13601,-75.9313431,Jefferson,43.9843063,2-year,"(43.9843063, -75.9313431)",Community Colleges,Fall 2015,3748,0,Liberal Arts And Sciences,Business Administration,Criminal Justice,Human Services,Early Childhood
Mohawk Valley,MOHAWK VALLEY COMMUNITY COLLEGE,http://www.mvcc.edu,1101 SHERMAN DR, ,UTICA,NY,13501,-75.22155,Oneida,43.0786896,2-year,"(43.0786896, -75.22155)",Community Colleges,Fall 2015,6675,0,Liberal Arts And Sciences,Nursing,Criminal Justice,Business Administration,Human Services
Monroe,MONROE COMMUNITY COLLEGE,http://www.monroecc.edu,1000 E HENRIETTA RD, ,ROCHESTER,NY,14623,-77.6152344,Monroe,43.1010475,2-year,"(43.1010475, -77.6152344)",Community Colleges,Fall 2015,14586,0,Liberal Arts And Sciences,Business Administration,Human Services,Hospitality Management,Nursing
Nassau,NASSAU COMMUNITY COLLEGE,http://www.ncc.edu,1 EDUCATION DR, ,GARDEN CITY,NY,11530,-73.5510559,Nassau,40.7482071,2-year,"(40.7482071, -73.5510559)",Community Colleges,Fall 2015,21558,0,Liberal Arts And Sciences,Business Administration,Criminal Justice,Nursing,Commercial Art
Niagara County,NIAGARA COUNTY COMMUNITY COLLEGE,http://www.niagaracc.suny.edu,3111 SAUNDERS SETTLEMENT, ,SANBORN,NY,14132,-78.8828583,Niagara,43.1444206,2-year,"(43.1444206, -78.8828583)",Community Colleges,Fall 2015,6116,0,Liberal Arts And Sciences,Criminal Justice,Business Administration,Nursing,Human Services
North Country,NORTH COUNTRY COMMUNITY COLLEGE,http://www.nccc.edu,23 SANTANONI AVE,P.O. Box 89,SARANAC LAKE,NY,12983,-74.1233521,Essex,44.3219337,2-year,"(44.3219337, -74.1233521)",Community Colleges,Fall 2015,1883,0,Liberal Arts And Sciences,Criminal Justice,Business Administration,Human Services,Chemical Dependency Counseling
Onondaga,ONONDAGA COMMUNITY COLLEGE,http://www.sunyocc.edu,4585 W SENECA TPKE, ,SYRACUSE,NY,13215,-76.1969223,Onondaga,43.0060577,2-year,"(43.0060577, -76.1969223)",Community Colleges,Fall 2015,11886,0,Liberal Arts And Sciences,Business Administration,Human Services,Criminal Justice,Art
Orange County,ORANGE COUNTY COMMUNITY COLLEGE,http://orange.cc.ny.us,115 SOUTH ST, ,MIDDLETOWN,NY,10940,-74.4265747,Orange,41.4395943,2-year,"(41.4395943, -74.4265747)",Community Colleges,Fall 2015,6982,0,Liberal Arts And Sciences,Criminal Justice,Nursing,Business Administration,Visual Communications Technology
Rockland,ROCKLAND COMMUNITY COLLEGE,http://www.sunyrockland.edu,145 COLLEGE RD, ,SUFFERN,NY,10901,-74.0856476,Rockland,41.1308861,2-year,"(41.1308861, -74.0856476)",Community Colleges,Fall 2015,7180,0,Liberal Arts And Sciences,Nursing,Criminal Justice,Business Administration,Communication Media Arts
Schenectady County,SCHENECTADY COUNTY COMMUNITY COLLEGE,http://www.sunysccc.edu,78 WASHINGTON AVE, ,SCHENECTADY,NY,12305,-73.9524078,Schenectady,42.8150826,2-year,"(42.8150826, -73.9524078)",Community Colleges,Fall 2015,6126,0,Business Administration,Liberal Arts And Sciences,"Hotel Technology, Culinary Arts",Health Studies,Criminal Justice
Suffolk County,SUFFOLK COUNTY COMMUNITY COLLEGE-AMMERMAN CAMPUS AT SELDEN,http://www.sunysuffolk.edu,533 COLLEGE RD, ,SELDEN,NY,11784,-73.0564575,Suffolk,40.848156,2-year,"(40.848156, -73.0564575)",Community Colleges,Fall 2015,26829,0,Liberal Arts And Sciences,Criminal Justice,Business Administration,Nursing,Food Service Administration: Culinary Arts
Sullivan County,SULLIVAN COUNTY COMMUNITY COLLEGE,http://www.sunysullivan.edu,112 COLEGE RD, ,LOCH SHELDRAKE,NY,12759,-74.6683044,Sullivan,41.7653084,2-year,"(41.7653084, -74.6683044)",Community Colleges,Fall 2015,1592,0,Liberal Arts And Sciences,Criminal Justice,Business Administration,Human Services,Computer Graphics/Grapic Design
Tompkins Cortland,TOMPKINS-CORTLAND COMMUNITY COLLEGE,http://www.tc3.edu,170 NORTH ST, PO BOX 139,DRYDEN,NY,13053,-76.2984009,Tompkins,42.4971085,2-year,"(42.4971085, -76.2984009)",Community Colleges,Fall 2015,3083,0,Liberal Arts And Sciences,Business Administration,Criminal Justice,Nursing,Early Childhood
Ulster County,ULSTER COUNTY COMMUNITY COLLEGE,http://www.sunyulster.edu,491 COTTEKILL RD, ,STONE RIDGE,NY,12484,-74.1750259,Ulster,41.8715286,2-year,"(41.8715286, -74.1750259)",Community Colleges,Fall 2015,3468,0,Individual Studies: Telecommunications,Liberal Arts And Sciences,Veterinary Technology,Nursing,Criminal Justice
Westchester,WESTCHESTER COMMUNITY COLLEGE,http://www.sunywcc.edu,75 GRASSLANDS RD, ,VALHALLA,NY,10595,-73.7826691,Westchester,41.0705185,2-year,"(41.0705185, -73.7826691)",Community Colleges,Fall 2015,12966,0,Liberal Arts And Sciences,Criminal Justice,Business Administration,Early Childhood,Visual Arts
Brockport,STATE UNIVERSITY COLLEGE AT BROCKPORT,http://www.brockport.edu/, 350 NEW CAMPUS DR, ,BROCKPORT,NY,14420,-77.9509811,Monroe,43.2119102,4-year,"(43.2119102, -77.9509811)",Comprehensive Colleges,Fall 2015,7069,1092,Nursing,Business Administration,Criminal Justice,Psychology,Health Science
Buffalo State,STATE UNIVERSITY COLLEGE AT BUFFALO,http://www.buffalostate.edu/,1300 ELMWOOD AVE, ,BUFFALO,NY,14222,-78.8768921,Erie,42.9324188,4-year,"(42.9324188, -78.8768921)",Comprehensive Colleges,Fall 2015,9187,1143,Psychology,Business Administration,Criminal Justice,Fashion & Textile Technology,Public Communication
Cortland,STATE UNIVERSITY COLLEGE AT CORTLAND,http://www.cortland.edu,21 GRAHAM AVE,P.O. Box 2000,CORTLAND,NY,13045,-76.1890335,Cortland,42.5985222,4-year,"(42.5985222, -76.1890335)",Comprehensive Colleges,Fall 2015,6283,643,Physical Education ,Childhood Education ,Kinesiology,Business Economics,Sport Management
Empire State,STATE UNIVERSITY OF NEW YORK EMPIRE STATE COLLEGE,http://www.esc.edu,2 UNION AVE, ,SARATOGA SPRINGS,NY,12866,-73.7833099,Sararoga,43.0773811,4-year,"(43.0773811, -73.7833099)",Comprehensive Colleges,Fall 2015,10807,1071,"Business, Management & Economics",Community & Human Services,Labor Studies ,"Science, Math & Technology",Human Development
Fredonia,STATE UNIVERSITY COLLEGE AT FREDONIA,http://www.fredonia.edu,280 CENTRAL AVE, ,FREDONIA,NY,14063,-79.3207245,Chautauqua,42.4385948,4-year,"(42.4385948, -79.3207245)",Comprehensive Colleges,Fall 2015,4582,260,Music Education,Psychology,Business Administration,Childhood Inclusive Education,Criminal Justice
Geneseo,STATE UNIVERSITY COLLEGE AT GENESEO,http://www.geneseo.edu,1 COLLEGE CIRCLE, ,GENESEO,NY,14454,-77.8248215,Livingston,42.7967949,4-year,"(42.7967949, -77.8248215)",Comprehensive Colleges,Fall 2015,5566,110,Biology,Psychology,Business Administration,Childhood Education & Special Education,English
New Paltz,STATE UNIVERSITY COLLEGE AT NEW PALTZ,http://www.newpaltz.edu,1 HAWK DR, ,NEW PALTZ,NY,12561,-74.0813141,Ulster,41.7401619,4-year,"(41.7401619, -74.0813141)",Comprehensive Colleges,Fall 2015,6699,1052,Psychology,Early Childhood & Childhood Education,Visual Arts,English,Sociology
Old Westbury,STATE UNIVERSITY COLLEGE AT OLD WESTBURY,http://www.oldwestbury.edu,PO BOX 210, ,OLD WESTBURY,NY,11568,-73.5742111,Nassau,40.7985573,4-year,"(40.7985573, -73.5742111)",Comprehensive Colleges,Fall 2015,4125,228,Psychology,Accounting,Criminology,Biological Sciences,Business Administration
Oneonta,STATE UNIVERSITY COLLEGE AT ONEONTA,http://www.oneonta.edu,108 RAVINE PKWY, ,ONEONTA,NY,13820,-75.0663681,Otsego,42.467598,4-year,"(42.467598, -75.0663681)",Comprehensive Colleges,Fall 2015,5850,269,Biology,Psychology,Business Economics,Childhood Education,Music Industry
Oswego,STATE UNIVERSITY COLLEGE AT OSWEGO,http://www.oswego.edu,7060 ROUTE 104, ,OSWEGO,NY,13126,-76.5448303,Oswego,43.4527702,4-year,"(43.4527702, -76.5448303)",Comprehensive Colleges,Fall 2015,7104,833,Business Administration,Psychology,Childhood Education,Communication Studies,Public Justice
Plattsburgh,STATE UNIVERSITY COLLEGE AT PLATTSBURGH,http://www.plattsburgh.edu,101 BROAD STREET, ,PLATTSBURGH,NY,12901,-73.4675446,Clinton,44.6945381,4-year,"(44.6945381, -73.4675446)",Comprehensive Colleges,Fall 2015,5377,341,Psychology,Criminal Justice,Business Administration,Nursing,Biology
Potsdam,STATE UNIVERSITY COLLEGE AT POTSDAM,http://www.potsdam.edu,44 PIERREPONT AVE, ,POTSDAM,NY,13676,-74.9790192,St. Lawrence,44.6631737,4-year,"(44.6631737, -74.9790192)",Comprehensive Colleges,Fall 2015,3614,290,Childhood/Early Childhood Education,Music Education K-12,Business Administration,Psychology,Biology
Purchase,STATE UNIVERSITY COLLEGE AT PURCHASE,http://www.purchase.edu,735 ANDERSON HILL RD, ,PURCHASE,NY,10577,-73.7037048,Westchester,41.0488014,4-year,"(41.0488014, -73.7037048)",Comprehensive Colleges,Fall 2015,4077,92,Psychology,Arts Management,New Media,Liberal Studies,Biology
Albany,STATE UNIVERSITY OF NEW YORK AT ALBANY,http://www.albany.edu,1400 WASHINGTON AVENUE, ,ALBANY,NY,12222,-73.8232956,Albany,42.6907845,4-year,"(42.6907845, -73.8232956)",Doctoral Degree Granting Institutions,Fall 2015,12907,4271,Biology,Psychology,Business Administration,Political Science,Rhetoric & Communications
Alfred-Ceramics,NEW YORK STATE COLLEGE OF CERAMICS AT ALFRED UNIVERSITY,http://www.alfred.edu/,1 SAXON DR, ,ALFRED,NY,14802,-77.7895355,Allegany,42.2569656,4-year,"(42.2569656, -77.7895355)",Doctoral Degree Granting Institutions,Fall 2015,567,60,Ceramic Art,Ceramic Engineering,Materials Science & Engineering,Biomaterials Engineering,Glass Engineering Science
Binghamton,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,http://www.binghamton.edu,4400 VESTAL PKWY E,P.O. Box 6000,BINGHAMTON,NY,13901,-75.9698486,Broome,42.0898132,4-year,"(42.0898132, -75.9698486)",Doctoral Degree Granting Institutions,Fall 2015,13491,3422,Business Administration,Biological Sciences,Accounting,English,Economics
Buffalo University ,STATE UNIVERSITY OF NEW YORK AT BUFFALO,http://www.buffalo.edu/,12 CAPEN HALL, ,BUFFALO,NY,14260,-78.7888641,Erie,43.0008278,4-year,"(43.0008278, -78.7888641)",Doctoral Degree Granting Institutions,Fall 2015,19953,9855,Business Administration,Psychology,Communication,Biological Sciences,Pharmacy
Cornell Statutory,CORNELL STATUTORY COLLEGES,http://www.cornell.edu,DAY HALL, ,ITHACA,NY,14853,-76.4746933,Tompkins,42.4458351,4-year,"(42.4458351, -76.4746933)",Doctoral Degree Granting Institutions,Fall 2015,5599,1991,Nys College Of Agriculture And Life Sciences,Nys College Of Human Ecology,Nys School Of Industrial And Labor Relations ,Nys College Of Veterinary Medicine ,
Downstate Medical,STATE UNIVERSITY OF NEW YORK HEALTH SCIENCE CENTER AT BROOKLYN,http://www.downstate.edu,450 CLARKSON AVE, ,BROOKLYN,NY,11203,-73.9450836,Kings,40.6556015,4-year,"(40.6556015, -73.9450836)",Doctoral Degree Granting Institutions,Fall 2015,348,1510,Nursing,Physician'S Assistant,Diagnostic Medical Imaging,Health Sciences,
Envir Sci & Forestry,STATE UNIVERSITY OF NEW YORK COLLEGE OF ENVIRONMENTAL SCIENCE AND FORESTRY AT SYRACUSE,http://www.esf.edu,1 FORESTRY DR, ,SYRACUSE,NY,13210,-76.1362228,Onondaga,43.0342941,4-year,"(43.0342941, -76.1362228)",Doctoral Degree Granting Institutions,Fall 2015,1755,467,Environmental Science,Conservation Biology,Environmental Biology,Landscape Architecture,Environmental Studies
Optometry,STATE UNIVERSITY OF NEW YORK COLLEGE OF OPTOMETRY,http://www.sunyopt.edu,100 EAST 24TH ST, ,NEW YORK,NY,10010,-73.9862137,New York,40.7404442,Graduate,"(40.7404442, -73.9862137)",Doctoral Degree Granting Institutions,Fall 2015,0,383,Doctor Of Optometry,Vision Science,,,
Stony Brook,STATE UNIVERSITY OF NEW YORK AT STONY BROOK,http://www.sunysb.edu,100 NICOLLS RD, ,STONY BROOK,NY,11794,-73.1226883,Suffolk,40.9181595,4-year,"(40.9181595, -73.1226883)",Doctoral Degree Granting Institutions,Fall 2015,16683,8477,Biology,Psychology,Health Science,Business Management,Biochemistry
Upstate Medical,STATE UNIVERSITY OF NEW YORK HEALTH SCIENCE CENTER AT SYRACUSE,http://www.upstate.edu,750 EAST ADAMS ST, ,SYRACUSE,NY,13210,-76.1404648,Onondaga,43.0427628,4-year,"(43.0427628, -76.1404648)",Doctoral Degree Granting Institutions,Fall 2015,219,1261,Nursing,Medical Technology,Medical Imaging Sciences,Respiratory Care ,Radiation Therapy Technology
Alfred State,STATE UNIVERSITY OF NEW YORK COLLEGE OF TECHNOLOGY AT ALFRED,http://www.alfredstate.edu/,10 UPPER COLLEGE DR, ,ALFRED,NY,14802,-77.7876892,Allegany,42.2555046,4-year,"(42.2555046, -77.7876892)",Technology Colleges,Fall 2015,3699,0,Nursing,Veterinary Science Technology,Health Information Technology,Architectural Technology,Building Trades/Construction
Canton,STATE UNIVERSITY OF NEW YORK COLLEGE OF TECHNOLOGY AT CANTON,http://www.canton.edu/,34 CORNELL DR, ,CANTON,NY,13617,-75.1620026,St. Lawrence,44.5889854,2-year,"(44.5889854, -75.1620026)",Technology Colleges,Fall 2015,3140,0,Nursing,Health Sciences Career Studies,Criminal Justice ,Legal Studies,Liberal Arts & Sciences
Cobleskill,STATE UNIVERSITY OF NEW YORK COLLEGE OF AGRICULTURE AND TECHNOLOGY AT COBLESKILL,http://www.cobleskill.edu, STATE ROUTE 7, ,COBLESKILL,NY,12043,-74.497551,Schoharie,42.6741714,4-year,"(42.6741714, -74.497551)",Technology Colleges,Fall 2015,2441,0,Animal Science,Social Science,Culinary Arts,Business Administration,Wildlife Management
Delhi,STATE UNIVERSITY OF NEW YORK COLLEGE OF TECHNOLOGY AT DELHI,http://www.delhi.edu, 2 MAIN STREET, ,DELHI,NY,13753,-74.9245529,Delaware,42.2705536,2-year,"(42.2705536, -74.9245529)",Technology Colleges,Fall 2015,3431,21,Nursing,Liberal Arts & Sciences,Veterinary Science Technology,Hospitality Management,Business & Technology Management
Farmingdale,STATE UNIVERSITY OF NEW YORK COLLEGE OF TECHNOLOGY AT FARMINGDALE,http://www.farmingdale.edu,2350 BROADHOLLOW RD, ,FARMINGDALE,NY,11735,-73.4278793,Suffolk,40.7528114,4-year,"(40.7528114, -73.4278793)",Technology Colleges,Fall 2015,8648,0,Business Managment,Liberal Arts & Science,"Science, Technology, & Society",Computer Programming & Information Systems,Nursing
Maritime,STATE UNIVERSITY OF NEW YORK MARITIME COLLEGE,http://www.sunymaritime.edu, 6 PENNYFIELD AVE, ,THROGGS NECK,NY,10465,-73.7960739,Bronx,40.8069954,4-year,"(40.8069954, -73.7960739)",Technology Colleges,Fall 2015,1677,183,Marine Transportation,Mechanical Engineering,International Transportation & Trade,Marine Operations,Naval Architecture
Morrisville,STATE UNIVERSITY OF NEW YORK COLLEGE OF AGRICULTURE AND TECHNOLOGY AT MORRISVILLE,http://www.morrisville.edu,80 EASTON ST, ,MORRISVILLE,NY,13408,-75.6411972,Madison,42.8959999,4-year,"(42.8959999, -75.6411972)",Technology Colleges,Fall 2015,2940,0,Humanities & Social Sciences,Nursing,Math & Science,Criminal Justice,Automotive Technology
SUNY POLY,STATE UNIVERSITY OF NEW YORK INSTITUTE OF TECHNOLOGY AT UTICA / ROME,http://www.sunyit.edu,100 SEYMOUR RD,,UTICA,NY,13504,-75.2718658,Oneida,43.0969925,4-year,"(43.0969925, -75.2718658)",Technology Colleges,Fall 2015,2065,714,Business Administration,Nursing ,Mechanical Engineering Technology,Computer & Information Science,Health Information Management
